NAME,PROCESSOR,RAM,HDD,NO,SSD,DISPLAY,OPERATING SYSTEM,",",IMAGE-src
Apple MacBook 12inch MNYM2HN/A Laptop (Intel Core M3/ 8GB/ 256GB SSD/ Mac OS),Intel Core m3 7th Gen,8 GB DDR3 RAM,NO,256 GB SSD,Intel Integrated HD 615,"12 inches, 2304 x 1440 pixels",Mac OS,"32,311",https://cdn1.smartprix.com/rx-ip4YmUdyz-w103-h125/apple-macbook-12inch.jpg
Apple MacBook Pro 13inch MD101HN/A Laptop (Ci5/ 4GB/ 500GB/ Mac OS X Lion),Intel Core i5 3rd Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD Graphics 4000,"13.3 inches, 1280 x 800 pixels",Mac OS,"34,000",https://cdn1.smartprix.com/rx-in8gV5RST-w103-h125/apple-macbook-pro-13.jpg
Apple MacBook Air 11 inch MD223HN/A Laptop (2nd Gen Ci5/ 4GB/ 500GB/ Mac OS X Lion),Intel Core i5 2nd Gen,4 GB DDR3 RAM,64 GB Hard Disk,NO,Intel HD Graphics 4000,"11 inches, 1366 x 768 pixels",Mac OS,"49,999",https://cdn1.smartprix.com/rx-ilmQFAlgW-w103-h125/apple-macbook-air-11.jpg
Apple MacBook Pro MF839HN Laptop (5th Gen Ci5/ 8GB/ 128GB/ Mac OS X Yosemite),Intel Core i5 5th Gen,8 GB DDR3 RAM,NO,NO,Intel Iris Graphics 6100,"13.5 inches, 2560 x 1600 pixels",Mac OS,"51,000",https://cdn1.smartprix.com/rx-iyvYL7m4x-w103-h125/apple-macbook-pro-mf.jpg
Apple MacBook Air 11 inch MD711HN/B Laptop (Ci5/ 4GB/ 128GB Flash/ Mac OS X Mavericks),Intel 4th Gen 0U Core i5,4 GB DDR3 RAM,NO,NO,Intel HD Graphics 5000,"11 inches, 1366 x 768 pixels",Mac OS,"55,000",https://cdn1.smartprix.com/rx-ie8o2tprn-w103-h125/apple-macbook-air-11.jpg
Apple MacBook Air 11inch MJVM2HN/A Laptop (5th Gen Ci5/ 4GB/ 128GB SSD/ OS X Yosemite),Intel Core i5 5th Gen,4 GB DDR3 RAM,NO,NO,Intel HD Graphics 5500,"11.6 inches, 1366 x 768 pixels",Backlit Keyboard,"56,674",https://cdn1.smartprix.com/rx-i7s3kSjOs-w103-h125/apple-macbook-air-11.jpg
Apple MacBook Air 11 inch MD711HN/A Laptop (4th Gen Ci5/ 4GB/ 128GB Flash/ Mac OS X Mountain Lion),Intel Core i5 4th Gen,4 GB DDR3 RAM,128 GB Hard Disk,NO,Intel HD Graphics 5000,"11 inches, 1366 x 768 pixels",Mac OS,"56,790",https://cdn1.smartprix.com/rx-ipTe83fT6-w103-h125/apple-macbook-air-11.jpg
Apple MacBook Air 13inch MJVE2HN/A Laptop (Core i5/ 4GB/ 128GB SSD/ OS X Yosemite),Intel Core i5 5th Gen,4 GB DDR3 RAM,NO,128 GB SSD,Intel HD Graphics 6000,"13.3 inches, 1440 x 900 pixels",Mac OS,"56,999",https://cdn1.smartprix.com/rx-iS2SeCdZA-w103-h125/apple-macbook-air-13.jpg
Apple MacBook Air MREE2HN Ultrabook (8th Gen Ci5/ 8GB/ 128GB SSD/ MacOS Mojave),Intel Core i5 8th Gen,8 GB LPDDR3 RAM,NO,128 GB SSD,Intel UHD 617,"13.3 inches, 2560 x 1600 pixels",Mac OS,"57,450",https://cdn1.smartprix.com/rx-iyl5wL3uu-w103-h125/apple-macbook-air-mr.jpg
Apple MacBook Air MQD32HN/A Laptop (Ci5/ 8GB/ 128GB/ MacOS Sierra),Intel Core i5 5th Gen,8 GB DDR3 RAM,NO,128 GB SSD,Intel HD Graphics 6000,"13.3 inches, 1440 x 900 pixels",Mac OS,"58,999",https://cdn1.smartprix.com/rx-iv9zmdsLG-w103-h125/apple-macbook-air-mq.webp
Apple MacBook Air 13 inch MD760HN/B Laptop (Ci5/ 4GB/ 128GB Flash/ Mac OS X Mavericks),Intel 4th Gen Core i5,4 GB DDR3 RAM,NO,NO,Intel HD Graphics 5000,"13 inches, 1440 x 900 pixels",Mac OS,"60,693",https://cdn1.smartprix.com/rx-ihjftVfCv-w103-h125/apple-macbook-air-13.jpg
Apple MacBook Air 11 inch MD712HN/B Laptop (Ci5/ 4GB/ 256 GB Flash/ Mac OS X Mavericks),Intel 4th Gen Core i5,4 GB DDR3 RAM,Intel HD Graphics 5000,NO,NO,"11 inches, 1366 x 768 pixels",Mac OS,"65,900",https://cdn1.smartprix.com/rx-iswZPC8F7-w103-h125/apple-macbook-air-11.jpg
Apple MacBook Air 13 inch MD232HN/A Laptop (2nd Gen Ci5/ 4GB/ 750GB/ Mac OS X Lion),Intel Core i5 2nd Gen,4 GB DDR3 RAM,256 GB Hard Disk,NO,Intel HD Graphics 4000,"13 inches, 1440 x 900 pixels",Mac OS,"69,000",https://cdn1.smartprix.com/rx-iE0dHmKHO-w103-h125/apple-macbook-air-13.jpg
Apple MacBook Air 13 inch MD760HN/A Laptop (4th Gen Ci5/ 4GB/ 128GB Flash/ Mac OS X Mountain Lion),Intel Core i5 4th Gen,4 GB DDR3 RAM,128 GB Hard Disk,NO,Intel HD Graphics 5000,"13 inches, 1440 x 900 pixels",Mac OS,"69,400",https://cdn1.smartprix.com/rx-i1r7GHN1x-w103-h125/apple-macbook-air-13.jpg
Apple MacBook Air 13inch MJVG2HN/A Notebook (5th Gen Intel Ci5/ 4GB/ 256GB SSD/ OS X Yosemite),Intel Core i5,4 GB DDR3 RAM,NO,NO,Intel HD Graphics 6000,"13.17 inches, 1440 x 900 pixels",Mac OS,"69,520",https://cdn1.smartprix.com/rx-i289HoFqY-w103-h125/apple-macbook-air-13.jpg
Apple Macbook 12inch MF855HN/A Notebook (5th Gen Intel Dual Core/ 8GB/ 256GB SSD/ Mac OS X Yosemite),Intel,8 GB DDR3 RAM,NO,NO,Intel HD Graphics 5300,"12 inches, 2304 x 1440 pixels",Mac OS,"69,900",https://cdn1.smartprix.com/rx-izM8FiLTz-w103-h125/apple-macbook-12inch.jpg
Apple MacBook Air 13inch MQD42HN/A Laptop (Ci5/ 8GB/ 256GB/ MacOS),Intel Core i5 5th Gen,8 GB DDR3 RAM,NO,256 GB SSD,Intel Integrated HD Graphics 6000,"13.3 inches, 1440 x 900 pixels",Mac OS,"70,499",https://cdn1.smartprix.com/rx-iCO71E3UT-w103-h125/apple-macbook-air-13.jpg
Asus TUF Gaming A15 FA506II-AL117T Laptop (AMD Ryzen 5/ 8 GB/ 1TB 256GB SSD/ Win10/ 4GB Graph),AMD Ryzen 5 4th Gen,8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Mac OS,"70,990",https://cdn1.smartprix.com/rx-ikB5LRwkQ-w103-h125/asus-tuf-gaming-a15.webp
Apple MacBook Air 2020 Laptop (10th Gen Core i3/ 8GB/ 256GB/ MacOS),Intel Core i3 10th Gen,8 GB LPDDR4X RAM,NO,256 GB SSD,Intel Iris Plus,"13.3 inches, 2560 x 1600 pixels","Mac 10.15.3	 OS","72,999",https://cdn1.smartprix.com/rx-ip4KYw4KB-w103-h125/apple-macbook-air-20.webp
Apple MacBook Air 11 inch  MD712HN/A Laptop (4th Gen Ci5/ 4GB/ 256GB Flash/ Mac OS X Mountain Lion),Intel Core i5 4th Gen,4 GB DDR3 RAM,256 GB Hard Disk,NO,Intel HD Graphics 5000,"11 inches, 1366 x 768 pixels",Mac OS,"73,800",https://cdn1.smartprix.com/rx-i7pdExrfr-w103-h125/apple-macbook-air-11.jpg
Apple MacBook Air 13 inch MD761HN/B Laptop (Ci5/ 4GB/ 256GB Flash/ Mac OS X Mavericks),Intel 4th Gen Core i5,4 GB DDR3 RAM,NO,NO,Intel HD Graphics 5000,"13 inches, 1440 x 900 pixels",Mac OS,"74,499",https://cdn1.smartprix.com/rx-iJhVP6LzQ-w103-h125/apple-macbook-air-13.jpg
Apple MacBook Pro MGX72HN Notebook (4th Gen Ci5/ 8GB/ 128GB SSD/ Mac OS X Mavericks/ Retina Display),Intel Core i5 4th Gen,8 GB DDR3 RAM,NO,128 GB SSD,Intel Integrated,"13.17 inches, 2560 x 1600 pixels",Mac OS,"75,000",https://cdn1.smartprix.com/rx-iubtGrIKf-w103-h125/apple-macbook-pro-mg.jpg
Apple MacBook Air 11inch MJVP2HN/A Notebook (5th Gen Intel Ci5/ 4GB/ 256GB SSD/ OS X 10.10 Yosemite),Intel Core i5 5th Gen,4 GB DDR3 RAM,NO,NO,Intel HD Graphics 2500,"11.6 inches, 1366 x 768 pixels",Mac OS,"75,905",https://cdn1.smartprix.com/rx-injQARjPS-w103-h125/apple-macbook-air-11.jpg
Apple MacBook Air 13inch MMGG2HN/A Laptop (Ci5/ 8GB/ 256GB/ OS X El Capitan),Intel Core i5 5th Gen,8 GB  RAM,256 GB Hard Disk,256 GB SSD,Intel HD Graphics 6000,"13.3 inches, 1440 x 900 pixels",Mac OS,"75,999",https://cdn1.smartprix.com/rx-i8mIjgJeQ-w103-h125/apple-macbook-air-13.jpg
Apple MacBook Pro MD101HN/A Laptop (3rd Gen Ci5/ 16GB/ 500GB/ Mac OS X Lion),Intel Core i5 3rd Gen,16 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD 4000,"13.3 inches, 1280 x 800 pixels",Mac OS,"76,000",https://cdn1.smartprix.com/rx-i1KNi8T0j-w103-h125/apple-macbook-pro-md.jpg
Apple MacBook Air 13 inch MD761HN/A Laptop (4th Gen Ci5/ 4GB/ 256GB Flash/ Mac OS X Mountain Loin),Intel Core i5 4th Gen,4 GB DDR3 RAM,256 GB Hard Disk,NO,Intel HD Graphics 5000,"13 inches, 1440 x 900 pixels",Mac OS,"77,999",https://cdn1.smartprix.com/rx-i9L1rH01Y-w103-h125/apple-macbook-air-13.jpg
Apple MacBook Air 13inch MMGF2HN/A Laptop (Ci5/ 8GB/ 128GB Flash/ Mac OS X),Intel Core i5 5th Gen,8 GB  RAM,128 GB Hard Disk,128 GB SSD,Intel HD Graphics 6000,"13.3 inches, 1400 x 900 pixels",Mac OS,"80,900",https://cdn1.smartprix.com/rx-iZ7SlEx2U-w103-h125/apple-macbook-air-13.webp
Apple MacBook Pro 13 inch MD212HN/A Laptop (3rd Gen Ci5/ 8GB/ 128GB Flash/ Mac OS X Mountain Lion/ Retina Display),Intel Core i5 3rd Gen,8 GB DDR3 RAM,128 GB Hard Disk,NO,Intel HD Graphics 4000,"13 inches, 2560 x 1600 pixels",Mac OS,"85,995",https://cdn1.smartprix.com/rx-ieztouWUF-w103-h125/apple-macbook-pro-13.jpg
Apple Macbook 12inch MJY32HN/A Notebook (5th Gen Intel Dual Core/ 8GB/ 256GB SSD/ Mac OS X Yosemite),Intel,8 GB DDR3 RAM,NO,NO,Intel HD Graphics 5300,"12 inches, 2304 x 1440 pixels",Mac OS,"89,899",https://cdn1.smartprix.com/rx-iSzpySAxH-w103-h125/apple-macbook-12inch.jpg
Apple MacBook Air MVFM2HN Laptop (8th Gen Core i5/ 8GB/ 128GB SSD/ Mac OS Mojave),Intel Core i5 8th Gen,8 GB DDR3 RAM,NO,128 GB SSD,Intel Integrated UHD 617,"13.3 inches, 2560 x 1600 pixels",Mac OS,"89,900",https://cdn1.smartprix.com/rx-i2gYzchSM-w103-h125/apple-macbook-air-mv.jpg
Apple MacBook Air MVFK2HN (8th Gen Core i5/ 8GB/ 128GB SSD/ Mac OS Mojave),Intel Core i5 8th Gen,8 GB DDR3 RAM,NO,128 GB SSD,Intel Integrated UHD 617,"13.3 inches, 2560 x 1600 pixels",Mac OS,"89,900",https://cdn1.smartprix.com/rx-iB4qbYvHL-w103-h125/apple-macbook-air-mv.jpg
Apple MacBook Air MWTK2HN Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Mac OS Catalina),Intel Core i3 10th Gen,8 GB LPDDR4X RAM,NO,256 GB SSD,Intel Integrated Iris Plus,"13.3 inches, 2560 x 1600 pixels",Mac OS,"89,986",https://cdn1.smartprix.com/rx-iSvKCNfEn-w103-h125/apple-macbook-air-mw.webp
Apple MacBook MRQN2HN Ultrabook (7th Gen Core M3/ 8GB/ 256GB SSD/ MacOS Mojave),Intel Core M3 7th Gen,8 GB LPDDR3 RAM,NO,256 GB SSD,Intel HD 615,"12 inches, 2304 x 1440 pixels",Mac OS,"89,990",https://cdn1.smartprix.com/rx-i8L50hZGL-w103-h125/apple-macbook-mrqn2h.jpg
Apple MacBook Air 2020 MVH52HN Laptop (10th Gen Core i5/ 8GB/ 512GB/ MacOS),Intel Core i5 10th Gen,8 GB LPDDR4X RAM,NO,512 GB SSD,Intel Integrated Iris Plus,"13.3 inches, 2560 x 1600 pixels",Mac OS," 90,000 ",https://cdn1.smartprix.com/rx-iCavKx1r2-w103-h125/apple-macbook-air-20.webp
Apple MacBook Pro 13inch ME865HN/A Laptop (2nd Gen Ci5/ 8GB/ 256GB SSD/ Mac OS X Mavericks/ Retina Display),Intel 2nd Gen Core i5 4th Gen,8 GB DDR3 RAM,NO,NO,Intel Iris Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS,"92,900",https://cdn1.smartprix.com/rx-ixCvmcHSw-w103-h125/apple-macbook-pro-13.jpg
Apple Macbook 12inch MF865HN/A Notebook (5th Gen Intel Dual Core/ 8GB/ 512GB SSD/ Mac OS X Yosemite),Intel Core m5 5th Gen,8 GB DDR3 RAM,NO,512 GB SSD,Intel Integrated HD5300,"12 inches, 2304 x 1440 pixels",Mac OS,"93,144",https://cdn1.smartprix.com/rx-iYnbXbLak-w103-h125/apple-macbook-12inch.jpg
Apple MacBook Pro 13 inch MD102HN/A Laptop (3rd Gen Ci7/ 8GB/ 750GB/ Mac OS X Mountain Lion),Intel Core i7 3rd Gen,8 GB DDR3 RAM,750 GB Hard Disk,NO,Intel HD Graphics 4000,"13 inches, 1280 x 800 pixels",Mac OS,"93,950",https://cdn1.smartprix.com/rx-iEDAIych3-w103-h125/apple-macbook-pro-13.jpg
Apple MacBook Air MVFH2HN Laptop (8th Gen Core i5/ 8GB/ 128GB SSD/ Mac OS Mojave),Intel Core i5 8th Gen,8 GB DDR3 RAM,NO,128 GB SSD,Intel Integrated UHD 617,"13.3 inches, 2560 x 1600 pixels",Mac OS,"94,990",https://cdn1.smartprix.com/rx-ijXqgpK9x-w103-h125/apple-macbook-air-mv.jpg
Apple MacBook Pro 13inch MF840HN/A Laptop (Ci5/ 8GB/ 256GB SSD/ Mac OS X Yosemite),Intel Core i5,8 GB DDR3 RAM,NO,NO,Intel Iris Graphics 6100,"13.17 inches, 2560 x 1600 pixels",Mac OS,"96,000",https://cdn1.smartprix.com/rx-iTenLrUrx-w103-h125/apple-macbook-pro-13.jpg
Apple Macbook 12inch MK4M2HN/A Notebook (5th Gen Intel Dual Core/ 8GB/ 256GB SSD/ Mac OS X Yosemite),Intel,8 GB DDR3 RAM,NO,NO,Intel HD Graphics 5300,"12 inches, 2304 x 1440 pixels",Mac OS,"97,500",https://cdn1.smartprix.com/rx-iszy0J9n3-w103-h125/apple-macbook-12inch.jpg
Apple MacBook Pro 13.3inch MPXQ2HN/A Laptop (7th Gen Ci5/ 8GB/ 128GB/ Mac OS),Intel Core i5 7th Gen,8 GB DDR3 RAM,NO,128 GB SSD,Intel Integrated Iris Plus Graphics 640,"13.3 inches, 2560 x 1600 pixels",Mac OS,"97,933",https://cdn1.smartprix.com/rx-ix6qQ26o2-w103-h125/apple-macbook-pro-13.jpg
Apple MacBook Pro MPXR2HN/A Ultrabook (7th Gen Ci5/ 8GB/ 128GB SSD/ MacOS Sierra),Intel Core i5 7th Gen,8 GB DDR3 RAM,NO,128 GB SSD,Intel Integrated Iris Plus Graphics 640,"13.3 inches, 2560 x 1600 pixels",Mac OS,"98,243",https://cdn1.smartprix.com/rx-iOzCCi3Oc-w103-h125/apple-macbook-pro-mp.jpg
Apple MacBook Pro 13 inch ME864HN/A Laptop (4th Gen Ci5/ 4GB/ 128GB Flash/ Mac OS X Mavericks/ Retina Display),Intel Core i5 4th Gen,4 GB DDR3 RAM,128 GB Hard Disk,NO,Intel Iris Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS,"98,900",https://cdn1.smartprix.com/rx-iqRUxLNbC-w103-h125/apple-macbook-pro-13.jpg
Apple MacBook Pro 13 inch MGX82HN/A Notebook (Ci5/ 8GB/ 256GB SSD/ Mac OS X Mavericks/ Retina Display),Intel 4th Gen Core i5,8 GB DDR3 RAM,NO,NO,Intel Iris Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS,"99,900",https://cdn1.smartprix.com/rx-ilOlXokbE-w103-h125/apple-macbook-pro-13.jpg
Apple MacBook Pro 13 inch MGX92HN/A Notebook (Ci5/ 8GB/ 512GB SSD/ Mac OS X Mavericks/ Retina Display),Intel 4th Gen Core i5,8 GB DDR3 RAM,NO,NO,Intel Iris Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS,"99,900",https://cdn1.smartprix.com/rx-iU6TDR5sZ-w103-h125/apple-macbook-pro-13.jpg
Apple Macbook 12inch MK4N2HN/A Notebook (5th Gen Intel Dual Core/ 8GB/ 512GB SSD/ Mac OS X Yosemite),Intel 5th Gen,8 GB DDR3 RAM,NO,256 GB SSD,Intel HD Graphics 5300,"12 inches, 2304 x 1440 pixels",Mac OS,"1,00,000",https://cdn1.smartprix.com/rx-ilBLL43Ff-w103-h125/apple-macbook-12inch.jpg
Apple MacBook Air MREC2HN Ultrabook (8th Gen Ci5/ 8GB/ 256GB SSD/ MacOS Mojave),Intel Core i5 8th Gen,8 GB LPDDR3 RAM,NO,256 GB SSD,Intel UHD 617,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,03,000",https://cdn1.smartprix.com/rx-iKhMTZJNA-w103-h125/apple-macbook-air-mr.jpg
Apple MacBook Air MVFJ2HN (8th Gen Core i5/ 8GB/ 256GB SSD/ Mac OS Mojave),Intel Core i5 8th Gen,8 GB DDR3 RAM,NO,256 GB SSD,Intel Integrated UHD 617,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,04,000",https://cdn1.smartprix.com/rx-iyE5jCsgu-w103-h125/apple-macbook-air-mv.jpg
Apple MacBook Pro MUHN2HN Laptop (8th Gen Core i5/ 8GB/ 128GB SSD/ Mac OS Mojave),Intel Core i5 8th Gen,8 GB DDR3 RAM,NO,128 GB SSD,Intel Integrated Iris Plus 645,"13.3 inches, 2560 x 1600 pixels",Mac Mojave OS,"1,05,000",https://cdn1.smartprix.com/rx-iH9qVS0tr-w103-h125/apple-macbook-pro-mu.jpg
Apple MacBook MNYF2HN/A (7th Gen Core M3/ 8GB/ 256GB SSD/ Mac OS Sierra),Intel Core m3 7th Gen,8 GB DDR3 RAM,NO,256 GB SSD,Intel Integrated HD 615,"12 inches, 2304 x 1440 pixels",Mac OS,"1,05,000",https://cdn1.smartprix.com/rx-iELHfmzvz-w103-h125/apple-macbook-mnyf2h.jpg
Apple MacBook MNYH2HN Ultrabook (7th Gen Core M3 / 8GB/ 256GB SSD/ MacOS Sierra),Intel Core M3-7Y32 7th Gen,8 GB LPDDR3 RAM,NO,256 GB SSD,Intel HD 615,"12 inches, 2304 x 1440 pixels",Mac OS," 1,05,000 ",https://cdn1.smartprix.com/rx-i79yBOdCs-w103-h125/apple-macbook-mnyh2h.jpg
Apple ME865HN/A Macbook Pro Laptop(Intel Core i5 /8 GB/500GB/ Intel HD Graphics 4000 Graph/Mac OS),Intel 2nd Gen Core i5,8 GB DDR3 RAM,NO,NO,Intel Iris Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,07,000",https://cdn1.smartprix.com/rx-idWv5nNYg-w103-h125/apple-me865hn-a-macb.jpg
Apple MacBook Air MRE82HN Ultrabook (8th Gen Ci5/ 8GB/ 128GB SSD/ Mac OS),Intel Core i5 8th Gen,8 GB LPDDR3 RAM,NO,128 GB SSD,Intel UHD 617,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,07,000",https://cdn1.smartprix.com/rx-ijdcXKCsD-w103-h125/apple-macbook-air-mr.jpg
Apple MacBook Air MREA2HN Ultrabook ( 8th Gen Ci5/ 8GB/ 128GB SSD/ MacOS Mojave),Intel Core i5 8th Gen,8 GB LPDDR3 RAM,NO,128 GB SSD,Intel UHD 617,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,07,000",https://cdn1.smartprix.com/rx-iYHfhs2jq-w103-h125/apple-macbook-air-mr.jpg
Apple MacBook Air 2018 With Retina Display Laptop (Intel Core i5/ 8GB/ 128GB/ MacOS),Intel Core i5 8th Gen,8 GB LPDDR3 RAM,NO,128 GB SSD,Intel UHD Graphics 617,"13.3 inches, 2560 x 1600 pixels",Mac OS," 1,07,000 ",https://cdn1.smartprix.com/rx-i8EWcILO6-w103-h125/apple-macbook-air-20.jpg
Apple MacBook Pro 13 inch ME662HN/A Laptop (2nd Gen Ci5/ 8GB/ 500GB/ Mac OS X Mountain Lion/ Retina Display),Intel Core i5 2nd Gen,8 GB DDR3 RAM,256 GB Hard Disk,NO,Intel HD Graphics 4000,"13 inches, 2560 x 1600 pixels",Mac OS,"1,08,000",https://cdn1.smartprix.com/rx-iclNc12Fp-w103-h125/apple-macbook-pro-13.jpg
Apple MacBook Pro MUHQ2HN/A Laptop (8th Gen Core i5/ 8GB/ 128GB SSD/ MacOS),Intel Core i5 8th Gen,8 GB LPDDR3 RAM,NO,128 GB SSD,Intel Iris Plus Graphics 645,"13.3 inches, 2560 x 1600 pixels",Mac Mojave OS,"1,09,000",https://cdn1.smartprix.com/rx-iXW9wX0Qo-w103-h125/apple-macbook-pro-mu.jpg
Apple MacBook MRQP2HN Ultrabook (7th Gen Core i5/ 8GB/ 512GB SSD/ MacOS Mojave),Intel Core i5 7th Gen,8 GB LPDDR3 RAM,NO,512 GB SSD,Intel HD 615,"12 inches, 2304 x 1440 pixels",Mac OS,"1,09,000",https://cdn1.smartprix.com/rx-iw4DjJ3Oh-w103-h125/apple-macbook-mrqp2h.jpg
Apple MacBook Pro MPXT2HN Laptop (7th Gen Ci5/ 8GB/ 256GB SSD/ Mac OS),Intel Core i5 7th Gen,8 GB DDR3 RAM,NO,256 GB SSD,Intel Integrated Iris Pluss 640,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,10,000",https://cdn1.smartprix.com/rx-insUtsQ1C-w103-h125/apple-macbook-pro-mp.jpg
Apple Macbook 12inch MJY42HN/A Notebook (5th Gen Intel Dual Core/ 8GB/ 512GB SSD/ Mac OS X Yosemite),Intel Core,8 GB DDR3 RAM,512 GB Hard Disk,NO,Intel HD Graphics 5300,"12 inches, 2304 x 1440 pixels",Mac OS,"1,10,000",https://cdn1.smartprix.com/rx-iT4jSL3BF-w103-h125/apple-macbook-12inch.jpg
Apple MacBook Air 2020 Laptop (10th Gen Core i7/ 8GB/ 512GB/ MacOS),Intel Core i7 10th Gen,8 GB LPDDR4X RAM,NO,512 GB SSD,Intel Iris Plus,"13.3 inches, 2560 x 1600 pixels","Mac 10.15.3	 OS"," 1,10,000 ",https://cdn1.smartprix.com/rx-i8KGGvrKH-w103-h125/apple-macbook-air-20.webp
Apple MacBook Air MVFN2HN Laptop (8th Gen Core i5/ 8GB/ 256GB SSD/ Mac OS Mojave),Intel Core i5 8th Gen,8 GB DDR3 RAM,NO,256 GB SSD,Intel Integrated UHD 617,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,11,000",https://cdn1.smartprix.com/rx-i0O3u5jTz-w103-h125/apple-macbook-air-mv.jpg
Apple MacBook Pro 13inch MLL42HN/A Laptop (Ci5/ 8GB/ 256GB SSD/ Mac OS X Sierra),Intel Core i5,8 GB DDR3 RAM,NO,256 GB SSD,Intel Iris Graphics 540,"13 inches, 2560 x 1600 pixels",Mac OS,"1,13,000",https://cdn1.smartprix.com/rx-iu9Psc3JG-w103-h125/apple-macbook-pro-13.jpg
Apple ME866HN/A Macbook Pro Laptop(Intel Core i5 /8GB/ 500 GB /Intel Iris Graph/ Mac OS),Intel 4th Gen Core i5,8 GB DDR3 RAM,500 GB Hard Disk,NO,Intel Iris Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,14,000",https://cdn1.smartprix.com/rx-i4p6KsaAw-w103-h125/apple-me866hn-a-macb.jpg
Apple MacBook Air MVFL2HN/A Notebook (8th Gen Corei5/ 8GB/ 256GB SSD/ MacOS),Intel Core i5 8th Gen,8 GB LPDDR3 RAM,NO,256 GB SSD,Intel UHD 617,"13.3 inches, 2560 x 1600 pixels",Mac Mojave OS,"1,14,000",https://cdn1.smartprix.com/rx-i73Jg5zQ2-w103-h125/apple-macbook-air-mv.jpg
Apple MacBook Pro MPXU2HN/A Laptop (7th Gen Ci5/ 8GB/ 256GB SSD/ MacOS Sierra),Intel Core i5 7th Gen,8 GB DDR3 RAM,NO,256 GB SSD,Intel Integrated Iris Pluss 640,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,15,000",https://cdn1.smartprix.com/rx-irhv9lBeY-w103-h125/apple-macbook-pro-mp.jpg
